  cell  ,E,W,N,S
"(129, 118)",1,1,0,0
"(130, 118)",0,1,0,1
"(131, 118)",1,1,1,0
"(132, 118)",1,1,0,0
"(133, 118)",1,0,0,0
"(134, 118)",1,0,0,1
"(135, 118)",0,1,1,0
"(136, 118)",0,1,0,1
"(137, 118)",0,0,1,1
"(138, 118)",0,0,1,1
"(139, 118)",0,0,1,1
"(140, 118)",0,1,1,1
"(141, 118)",0,0,1,1
"(142, 118)",0,1,1,0
"(143, 118)",0,1,0,0
"(144, 118)",1,0,0,1
"(145, 118)",1,0,1,0
"(146, 118)",1,1,0,0
"(147, 118)",0,1,0,1
"(148, 118)",0,0,1,1
"(149, 118)",1,0,1,0
"(150, 118)",1,1,0,0
"(151, 118)",0,0,0,1
"(152, 118)",0,0,1,1
"(153, 118)",0,0,1,1
"(154, 118)",1,1,1,0
"(155, 118)",0,1,0,1
"(156, 118)",0,0,1,1
"(157, 118)",0,0,1,1
"(158, 118)",0,0,1,1
"(159, 118)",0,1,1,1
"(160, 118)",1,1,1,0
"(161, 118)",0,1,0,1
"(162, 118)",0,0,1,1
"(163, 118)",1,0,1,0
"(164, 118)",1,0,0,1
"(165, 118)",1,0,1,0
"(166, 118)",1,1,0,0
"(167, 118)",1,1,0,0
"(168, 118)",1,0,0,1
"(169, 118)",0,1,1,0
"(170, 118)",1,0,0,0
"(171, 118)",1,1,0,0
"(172, 118)",0,0,0,1
"(173, 118)",0,1,1,0
"(174, 118)",1,1,0,1
"(175, 118)",0,0,1,1
"(176, 118)",1,0,1,0
"(177, 118)",1,0,0,1
"(178, 118)",1,0,1,0
"(179, 118)",1,0,0,1
"(180, 118)",1,0,1,0
"(181, 118)",0,1,0,1
"(182, 118)",0,1,1,0
"(183, 118)",1,1,0,0
"(184, 118)",1,1,0,0
"(185, 118)",1,0,0,1
"(186, 118)",0,0,1,1
"(187, 118)",0,1,1,0
"(188, 118)",1,1,0,0
"(189, 118)",1,0,0,1
"(190, 118)",1,0,1,0
"(191, 118)",0,1,0,1
"(192, 118)",1,0,1,1
"(193, 118)",1,0,1,0
"(194, 118)",1,1,0,0
"(195, 118)",1,0,0,1
"(196, 118)",0,0,1,1
"(197, 118)",1,0,1,1
"(198, 118)",0,1,1,0
"(199, 118)",1,0,0,0
"(200, 118)",1,1,0,0
"(1, 119)",1,1,0,0
"(2, 119)",1,0,0,1
"(3, 119)",1,0,1,0
"(4, 119)",1,1,0,0
"(5, 119)",1,0,0,0
"(6, 119)",0,1,0,1
"(7, 119)",0,1,1,0
"(8, 119)",0,1,0,0
"(9, 119)",1,1,0,0
"(10, 119)",0,1,0,1
"(11, 119)",0,1,1,0
"(12, 119)",0,1,0,1
"(13, 119)",0,1,1,0
"(14, 119)",1,0,0,1
"(15, 119)",1,0,1,0
"(16, 119)",1,1,0,1
"(17, 119)",0,0,1,1
"(18, 119)",1,0,1,0
"(19, 119)",1,1,0,0
"(20, 119)",1,0,0,1
"(21, 119)",0,1,1,0
"(22, 119)",0,1,0,0
"(23, 119)",1,1,0,0
"(24, 119)",1,1,0,1
"(25, 119)",0,0,1,1
"(26, 119)",0,0,1,0
"(27, 119)",0,1,0,1
"(28, 119)",1,0,1,0
"(29, 119)",1,0,0,1
"(30, 119)",0,1,1,0
"(31, 119)",1,0,0,0
"(32, 119)",1,1,0,0
"(33, 119)",1,1,0,0
"(34, 119)",1,1,0,1
"(35, 119)",0,1,1,0
"(36, 119)",0,1,0,1
"(37, 119)",1,0,1,0
"(38, 119)",0,0,0,1
"(39, 119)",0,1,1,1
"(40, 119)",0,1,1,0
"(41, 119)",1,1,0,1
"(42, 119)",0,1,1,0
"(43, 119)",1,1,0,0
"(44, 119)",1,0,0,1
"(45, 119)",1,0,1,1
"(46, 119)",0,1,1,0
"(47, 119)",1,1,0,0
"(48, 119)",0,1,0,1
"(49, 119)",1,0,1,0
"(50, 119)",1,1,0,0
"(51, 119)",1,1,0,0
"(52, 119)",1,0,0,1
"(53, 119)",0,1,1,0
"(54, 119)",0,1,0,0
"(55, 119)",0,1,0,1
"(56, 119)",0,0,1,1
"(57, 119)",1,0,1,0
"(58, 119)",1,0,0,0
"(59, 119)",0,1,0,1
"(60, 119)",0,0,1,1
"(61, 119)",0,0,1,1
"(62, 119)",0,0,1,1
"(63, 119)",0,0,1,1
"(64, 119)",1,0,1,0
"(65, 119)",0,1,0,1
"(66, 119)",0,0,1,1
"(67, 119)",1,0,1,0
"(68, 119)",1,0,0,0
"(69, 119)",1,0,0,1
"(70, 119)",0,1,1,0
"(71, 119)",1,1,0,0
"(72, 119)",1,0,0,1
"(73, 119)",0,0,1,1
"(74, 119)",1,0,1,0
"(75, 119)",0,1,0,1
"(76, 119)",0,0,1,1
"(77, 119)",1,0,1,0
"(78, 119)",1,1,0,0
"(79, 119)",0,1,0,1
"(80, 119)",0,0,1,1
"(81, 119)",0,1,1,0
"(82, 119)",1,0,0,1
"(83, 119)",0,1,1,1
"(84, 119)",1,0,1,0
"(85, 119)",1,0,0,0
"(86, 119)",1,1,0,0
"(87, 119)",1,1,0,0
"(88, 119)",1,1,0,0
"(89, 119)",1,1,0,1
"(90, 119)",1,0,1,0
"(91, 119)",0,0,0,1
"(92, 119)",0,1,1,1
"(93, 119)",0,0,1,1
"(94, 119)",0,0,1,1
"(95, 119)",1,1,1,0
"(96, 119)",0,1,0,0
"(97, 119)",1,1,0,0
"(98, 119)",1,1,0,1
"(99, 119)",0,1,1,0
"(100, 119)",1,0,0,1
"(101, 119)",0,0,1,1
"(102, 119)",1,0,1,0
"(103, 119)",0,1,0,1
"(104, 119)",1,0,1,0
"(105, 119)",1,1,0,0
"(106, 119)",0,1,0,1
"(107, 119)",1,0,1,0
"(108, 119)",1,1,0,0
"(109, 119)",1,0,0,0
"(110, 119)",1,1,0,0
"(111, 119)",0,1,0,1
"(112, 119)",1,1,1,0
"(113, 119)",1,0,0,1
"(114, 119)",1,0,1,0
"(115, 119)",1,0,0,1
"(116, 119)",0,0,1,1
"(117, 119)",0,0,1,1
"(118, 119)",0,1,1,0
"(119, 119)",1,1,0,0
"(120, 119)",1,0,0,1
"(121, 119)",0,0,1,1
"(122, 119)",0,0,1,1
"(123, 119)",0,1,1,1
"(124, 119)",1,0,1,0
"(125, 119)",1,0,0,1
"(126, 119)",0,1,1,0
"(127, 119)",0,1,0,1
"(128, 119)",0,1,1,1
"(129, 119)",0,1,1,0
"(130, 119)",1,0,0,1
"(131, 119)",0,1,1,0
"(132, 119)",1,1,0,0
"(133, 119)",1,1,0,1
"(134, 119)",0,1,1,0
"(135, 119)",1,0,0,1
"(136, 119)",1,0,1,0
"(137, 119)",0,0,0,1
"(138, 119)",1,0,1,1
"(139, 119)",0,0,1,1
"(140, 119)",1,0,1,0
"(141, 119)",1,0,0,1
"(142, 119)",1,0,1,1
"(143, 119)",0,0,1,1
"(144, 119)",0,1,1,0
"(145, 119)",0,1,0,1
"(146, 119)",0,1,1,0
"(147, 119)",1,0,0,1
"(148, 119)",0,0,1,1
"(149, 119)",0,1,1,0
"(150, 119)",0,1,0,1
"(151, 119)",1,0,1,0
"(152, 119)",1,0,0,1
"(153, 119)",1,0,1,0
"(154, 119)",0,1,0,1
"(155, 119)",0,0,1,0
"(156, 119)",1,0,0,1
"(157, 119)",0,0,1,1
"(158, 119)",0,0,1,1
"(159, 119)",1,0,1,0
"(160, 119)",0,1,0,0
"(161, 119)",1,0,0,1
"(162, 119)",1,0,1,0
"(163, 119)",0,1,0,1
"(164, 119)",1,1,1,0
"(165, 119)",1,1,0,0
"(166, 119)",1,1,0,0
"(167, 119)",1,1,0,0
"(168, 119)",1,1,0,0
"(169, 119)",1,0,0,1
"(170, 119)",1,1,1,0
"(171, 119)",0,1,0,1
"(172, 119)",0,0,1,1
"(173, 119)",1,0,1,0
"(174, 119)",0,1,0,1
"(175, 119)",1,0,1,0
"(176, 119)",0,1,0,1
"(177, 119)",0,1,1,0
"(178, 119)",1,1,0,0
"(179, 119)",1,1,0,0
"(180, 119)",1,1,0,1
"(181, 119)",1,0,1,0
"(182, 119)",0,0,0,1
"(183, 119)",1,1,1,0
"(184, 119)",0,1,0,1
"(185, 119)",0,1,1,0
"(186, 119)",1,0,0,1
"(187, 119)",1,0,1,0
"(188, 119)",1,1,0,0
"(189, 119)",1,1,0,0
"(190, 119)",0,1,0,1
"(191, 119)",1,0,1,0
"(192, 119)",0,1,0,0
"(193, 119)",1,1,0,0
"(194, 119)",1,1,0,0
"(195, 119)",0,1,0,0
"(196, 119)",1,0,0,1
"(197, 119)",0,1,1,0
"(198, 119)",1,0,0,1
"(199, 119)",0,1,1,1
"(200, 119)",0,1,1,0
"(1, 120)",1,1,0,0
"(2, 120)",0,1,0,0
"(3, 120)",0,1,0,1
"(4, 120)",0,1,1,1
"(5, 120)",1,1,1,0
"(6, 120)",0,0,0,1
"(7, 120)",1,0,1,1
"(8, 120)",0,0,1,1
"(9, 120)",1,1,1,0
"(10, 120)",1,0,0,1
"(11, 120)",0,0,1,1
"(12, 120)",1,0,1,0
"(13, 120)",0,0,0,1
"(14, 120)",0,1,1,0
"(15, 120)",0,1,0,1
"(16, 120)",1,1,1,0
"(17, 120)",1,0,0,0
"(18, 120)",1,1,0,0
"(19, 120)",1,1,0,0
"(20, 120)",1,1,0,0
"(21, 120)",1,0,0,1
"(22, 120)",0,0,1,1
"(23, 120)",0,1,1,0
"(24, 120)",1,1,0,0
"(25, 120)",1,0,0,1
"(26, 120)",0,0,1,1
"(27, 120)",0,0,1,1
"(28, 120)",1,1,1,0
"(29, 120)",0,1,0,1
"(30, 120)",1,0,1,0
"(31, 120)",1,1,0,0
"(32, 120)",1,1,0,0
"(33, 120)",1,1,0,0
"(34, 120)",0,1,0,1
"(35, 120)",0,0,1,1
"(36, 120)",1,0,1,0
"(37, 120)",0,1,0,1
"(38, 120)",1,0,1,1
"(39, 120)",1,0,1,0
"(40, 120)",1,0,0,0
"(41, 120)",1,1,0,0
"(42, 120)",1,0,0,0
"(43, 120)",1,1,0,0
"(44, 120)",0,1,0,0
"(45, 120)",0,1,0,1
"(46, 120)",0,0,1,1
"(47, 120)",1,1,1,0
"(48, 120)",1,0,0,1
"(49, 120)",0,1,1,0
"(50, 120)",1,1,0,0
"(51, 120)",1,1,0,0
"(52, 120)",0,1,0,1
"(53, 120)",1,0,1,1
"(54, 120)",0,0,1,1
"(55, 120)",0,0,1,1
"(56, 120)",0,0,1,1
"(57, 120)",0,1,1,1
"(58, 120)",0,1,1,1
"(59, 120)",0,0,1,0
"(60, 120)",1,0,0,1
"(61, 120)",0,0,1,1
"(62, 120)",1,0,1,1
"(63, 120)",0,0,1,0
"(64, 120)",0,1,0,1
"(65, 120)",0,0,1,1
"(66, 120)",1,0,1,0
"(67, 120)",1,1,0,0
"(68, 120)",1,1,0,0
"(69, 120)",0,1,0,1
"(70, 120)",1,0,1,0
"(71, 120)",1,1,0,0
"(72, 120)",1,1,0,0
"(73, 120)",1,0,0,1
"(74, 120)",0,1,1,1
"(75, 120)",1,0,1,0
"(76, 120)",1,0,0,0
"(77, 120)",0,1,0,1
"(78, 120)",1,1,1,0
"(79, 120)",1,0,0,1
"(80, 120)",0,0,1,1
"(81, 120)",1,0,1,0
"(82, 120)",0,1,0,1
"(83, 120)",1,0,1,0
"(84, 120)",0,1,0,1
"(85, 120)",1,1,1,0
"(86, 120)",0,1,0,1
"(87, 120)",0,1,1,0
"(88, 120)",1,1,0,0
"(89, 120)",1,1,0,0
"(90, 120)",1,1,0,0
"(91, 120)",1,0,0,1
"(92, 120)",1,0,1,0
"(93, 120)",1,0,0,1
"(94, 120)",1,0,1,0
"(95, 120)",0,1,0,0
"(96, 120)",1,0,0,1
"(97, 120)",0,1,1,0
"(98, 120)",0,1,0,0
"(99, 120)",1,0,0,1
"(100, 120)",0,1,1,1
"(101, 120)",0,0,1,0
"(102, 120)",0,1,0,1
"(103, 120)",0,0,1,1
"(104, 120)",0,1,1,0
"(105, 120)",1,1,0,1
"(106, 120)",1,0,1,0
"(107, 120)",0,1,0,1
"(108, 120)",0,1,1,1
"(109, 120)",0,1,1,0
"(110, 120)",0,1,0,1
"(111, 120)",1,0,1,0
"(112, 120)",1,1,0,1
"(113, 120)",0,1,1,0
"(114, 120)",0,1,0,1
"(115, 120)",0,1,1,0
"(116, 120)",1,0,0,1
"(117, 120)",1,0,1,1
"(118, 120)",0,0,1,0
"(119, 120)",1,1,0,1
"(120, 120)",0,1,1,1
"(121, 120)",0,0,1,0
"(122, 120)",1,0,0,1
"(123, 120)",1,0,1,0
"(124, 120)",0,1,0,0
"(125, 120)",1,1,0,0
"(126, 120)",1,0,0,1
"(127, 120)",1,0,1,1
"(128, 120)",1,0,1,1
"(129, 120)",0,0,1,0
"(130, 120)",0,1,0,1
"(131, 120)",1,0,1,0
"(132, 120)",1,1,0,0
"(133, 120)",0,1,0,1
"(134, 120)",0,0,1,1
"(135, 120)",0,1,1,0
"(136, 120)",0,1,0,1
"(137, 120)",1,0,1,0
"(138, 120)",1,1,0,1
"(139, 120)",1,0,1,0
"(140, 120)",0,1,0,0
"(141, 120)",1,1,0,0
"(142, 120)",1,1,0,0
"(143, 120)",1,0,0,1
"(144, 120)",0,0,1,1
"(145, 120)",0,0,1,1
"(146, 120)",0,0,1,1
"(147, 120)",0,1,1,0
"(148, 120)",1,0,0,1
"(149, 120)",0,0,1,1
"(150, 120)",0,0,1,0
"(151, 120)",0,1,0,1
"(152, 120)",0,1,1,0
"(153, 120)",0,1,0,1
"(154, 120)",0,0,1,1
"(155, 120)",0,0,1,1
"(156, 120)",0,1,1,0
"(157, 120)",1,0,0,1
"(158, 120)",1,0,1,0
"(159, 120)",0,1,0,1
"(160, 120)",0,0,1,1
"(161, 120)",0,1,1,0
"(162, 120)",0,1,0,1
"(163, 120)",1,0,1,0
"(164, 120)",1,1,0,0
"(165, 120)",1,1,0,0
"(166, 120)",0,1,0,0
"(167, 120)",0,1,0,1
"(168, 120)",0,1,1,0
"(169, 120)",1,1,0,0
"(170, 120)",0,1,0,1
"(171, 120)",0,0,1,1
"(172, 120)",0,0,1,1
"(173, 120)",0,1,1,1
"(174, 120)",1,0,1,0
"(175, 120)",0,1,0,0
"(176, 120)",1,0,0,1
"(177, 120)",1,0,1,0
"(178, 120)",1,1,0,0
"(179, 120)",1,1,0,0
"(180, 120)",1,1,0,0
"(181, 120)",0,1,0,1
"(182, 120)",0,0,1,1
"(183, 120)",0,1,1,0
"(184, 120)",0,0,0,1
"(185, 120)",0,0,1,1
"(186, 120)",0,1,1,0
"(187, 120)",1,1,0,0
"(188, 120)",0,1,0,1
"(189, 120)",0,1,1,0
"(190, 120)",1,0,0,0
"(191, 120)",0,1,0,1
"(192, 120)",1,0,1,0
"(193, 120)",1,1,0,0
"(194, 120)",0,1,0,1
"(195, 120)",1,0,1,0
"(196, 120)",0,1,0,1
"(197, 120)",1,0,1,0
"(198, 120)",0,1,0,0
"(199, 120)",1,0,0,1
"(200, 120)",1,0,1,0
"(1, 121)",0,1,0,1
"(2, 121)",0,0,1,1
"(3, 121)",0,0,1,1
"(4, 121)",1,0,1,0
"(5, 121)",1,1,0,0
"(6, 121)",1,0,0,1
"(7, 121)",0,1,1,0
"(8, 121)",1,0,0,0
"(9, 121)",0,1,0,1
"(10, 121)",0,1,1,0
"(11, 121)",1,0,0,1
"(12, 121)",0,1,1,0
"(13, 121)",1,0,0,1
"(14, 121)",0,0,1,1
"(15, 121)",1,0,1,0
"(16, 121)",1,1,0,0
"(17, 121)",1,1,0,0
"(18, 121)",1,1,0,0
"(19, 121)",0,1,0,1
"(20, 121)",0,1,1,0
"(21, 121)",1,1,0,0
"(22, 121)",1,0,0,1
"(23, 121)",0,0,1,1
"(24, 121)",0,1,1,0
"(25, 121)",1,1,0,0
"(26, 121)",0,0,0,1
"(27, 121)",1,0,1,0
"(28, 121)",1,1,0,0
"(29, 121)",1,0,0,1
"(30, 121)",0,1,1,0
"(31, 121)",0,1,0,1
"(32, 121)",0,1,1,1
"(33, 121)",0,1,1,0
"(34, 121)",0,0,0,1
"(35, 121)",1,0,1,0
"(36, 121)",0,1,0,1
"(37, 121)",1,0,1,0
"(38, 121)",0,1,0,0
"(39, 121)",1,1,0,0
"(40, 121)",1,1,0,0
"(41, 121)",1,1,0,0
"(42, 121)",1,1,0,0
"(43, 121)",1,1,0,0
"(44, 121)",1,0,0,1
"(45, 121)",0,0,1,1
"(46, 121)",1,0,1,0
"(47, 121)",1,1,0,0
"(48, 121)",1,1,0,0
"(49, 121)",1,0,0,1
"(50, 121)",0,1,1,0
"(51, 121)",0,1,0,1
"(52, 121)",1,0,1,0
"(53, 121)",0,1,0,1
"(54, 121)",1,0,1,0
"(55, 121)",1,0,0,1
"(56, 121)",1,0,1,0
"(57, 121)",1,0,0,1
"(58, 121)",0,0,1,1
"(59, 121)",0,0,1,1
"(60, 121)",0,1,1,0
"(61, 121)",1,0,0,0
"(62, 121)",1,1,0,0
"(63, 121)",1,0,0,1
"(64, 121)",0,0,1,1
"(65, 121)",1,0,1,0
"(66, 121)",1,1,0,0
"(67, 121)",1,1,0,1
"(68, 121)",0,1,1,0
"(69, 121)",1,0,0,1
"(70, 121)",0,1,1,0
"(71, 121)",0,1,0,1
"(72, 121)",0,1,1,0
"(73, 121)",1,1,0,0
"(74, 121)",1,0,0,0
"(75, 121)",1,1,0,0
"(76, 121)",1,1,0,0
"(77, 121)",1,0,0,1
"(78, 121)",0,1,1,0
"(79, 121)",1,1,0,0
"(80, 121)",0,0,0,1
"(81, 121)",0,1,1,1
"(82, 121)",0,0,1,1
"(83, 121)",0,1,1,0
"(84, 121)",1,0,0,1
"(85, 121)",0,1,1,0
"(86, 121)",1,0,0,1
"(87, 121)",0,0,1,1
"(88, 121)",0,1,1,0
"(89, 121)",1,1,0,0
"(90, 121)",0,1,0,1
"(91, 121)",0,1,1,0
"(92, 121)",1,1,0,0
"(93, 121)",1,1,0,0
"(94, 121)",1,1,0,0
"(95, 121)",1,0,0,1
"(96, 121)",1,1,1,0
"(97, 121)",1,0,0,1
"(98, 121)",0,0,1,1
"(99, 121)",0,1,1,0
"(100, 121)",1,0,0,0
"(101, 121)",1,0,0,1
"(102, 121)",0,0,1,1
"(103, 121)",0,0,1,1
"(104, 121)",1,0,1,0
"(105, 121)",0,1,0,0
"(106, 121)",0,1,0,1
"(107, 121)",0,0,1,1
"(108, 121)",0,0,1,1
"(109, 121)",0,0,1,1
"(110, 121)",1,0,1,0
"(111, 121)",1,1,0,0
"(112, 121)",1,1,0,0
"(113, 121)",1,0,0,1
"(114, 121)",0,0,1,1
"(115, 121)",1,0,1,0
"(116, 121)",0,1,0,0
"(117, 121)",0,1,0,1
"(118, 121)",0,0,1,1
"(119, 121)",0,1,1,1
"(120, 121)",0,0,1,0
"(121, 121)",1,0,0,1
"(122, 121)",0,1,1,0
"(123, 121)",0,1,0,1
"(124, 121)",1,0,1,0
"(125, 121)",1,1,0,0
"(126, 121)",0,1,0,0
"(127, 121)",1,1,0,0
"(128, 121)",1,1,0,0
"(129, 121)",1,0,0,1
"(130, 121)",0,0,1,1
"(131, 121)",0,1,1,0
"(132, 121)",1,1,0,0
"(133, 121)",1,0,0,1
"(134, 121)",0,0,1,1
"(135, 121)",1,0,1,0
"(136, 121)",1,0,0,0
"(137, 121)",1,1,0,0
"(138, 121)",0,1,0,0
"(139, 121)",0,1,0,1
"(140, 121)",1,0,1,0
"(141, 121)",1,1,0,0
"(142, 121)",0,1,0,0
"(143, 121)",1,1,0,0
"(144, 121)",1,0,0,1
"(145, 121)",0,0,1,1
"(146, 121)",0,0,1,1
"(147, 121)",0,0,1,1
"(148, 121)",0,1,1,1
"(149, 121)",0,0,1,1
"(150, 121)",0,0,1,1
"(151, 121)",0,0,1,1
"(152, 121)",1,0,1,1
"(153, 121)",0,0,1,1
"(154, 121)",0,0,1,1
"(155, 121)",0,0,1,1
"(156, 121)",1,0,1,1
"(157, 121)",0,1,1,0
"(158, 121)",0,1,0,1
"(159, 121)",0,0,1,1
"(160, 121)",0,0,1,0
"(161, 121)",1,0,0,1
"(162, 121)",0,0,1,1
"(163, 121)",0,1,1,0
"(164, 121)",1,1,0,0
"(165, 121)",0,1,0,1
"(166, 121)",1,0,1,1
"(167, 121)",0,0,1,1
"(168, 121)",0,0,1,0
"(169, 121)",1,1,0,0
"(170, 121)",1,0,0,0
"(171, 121)",1,0,0,1
"(172, 121)",0,0,1,1
"(173, 121)",1,0,1,0
"(174, 121)",0,1,0,1
"(175, 121)",0,0,1,1
"(176, 121)",0,1,1,0
"(177, 121)",1,1,0,0
"(178, 121)",1,1,0,0
"(179, 121)",1,1,0,0
"(180, 121)",1,1,0,0
"(181, 121)",1,0,0,1
"(182, 121)",0,0,1,1
"(183, 121)",0,0,1,1
"(184, 121)",0,0,1,1
"(185, 121)",0,0,1,1
"(186, 121)",1,0,1,0
"(187, 121)",1,1,0,1
"(188, 121)",0,0,1,1
"(189, 121)",0,0,1,1
"(190, 121)",0,1,1,1
"(191, 121)",1,0,1,0
"(192, 121)",0,1,0,1
"(193, 121)",1,1,1,0
"(194, 121)",1,0,0,0
"(195, 121)",0,1,0,1
"(196, 121)",1,0,1,0
"(197, 121)",1,1,0,0
"(198, 121)",1,0,0,1
"(199, 121)",0,1,1,0
"(200, 121)",1,1,0,0
"(1, 122)",0,0,0,1
"(2, 122)",1,0,1,1
"(3, 122)",0,0,1,0
"(4, 122)",1,1,0,0
"(5, 122)",0,1,0,1
"(6, 122)",1,1,1,0
"(7, 122)",0,0,0,1
"(8, 122)",0,1,1,1
"(9, 122)",0,0,1,1
"(10, 122)",1,0,1,0
"(11, 122)",0,1,0,1
"(12, 122)",1,0,1,0
"(13, 122)",1,1,0,0
"(14, 122)",1,0,0,0
"(15, 122)",1,1,0,0
"(16, 122)",1,1,0,0
"(17, 122)",0,1,0,1
"(18, 122)",0,1,1,1
"(19, 122)",0,0,1,1
"(20, 122)",1,0,1,0
"(21, 122)",0,1,0,1
"(22, 122)",1,1,1,0
"(23, 122)",1,0,0,1
"(24, 122)",0,0,1,0
"(25, 122)",0,1,0,1
"(26, 122)",1,0,1,0
"(27, 122)",1,1,0,1
"(28, 122)",0,1,1,0
"(29, 122)",0,1,0,1
"(30, 122)",1,0,1,0
"(31, 122)",1,0,0,1
"(32, 122)",0,0,1,1
"(33, 122)",0,0,1,1
"(34, 122)",1,0,1,0
"(35, 122)",0,1,0,1
"(36, 122)",1,0,1,0
"(37, 122)",0,1,0,1
"(38, 122)",0,0,1,1
"(39, 122)",0,1,1,0
"(40, 122)",1,1,0,0
"(41, 122)",1,1,0,0
"(42, 122)",0,1,0,1
"(43, 122)",0,1,1,1
"(44, 122)",0,1,1,0
"(45, 122)",1,0,0,0
"(46, 122)",1,1,0,0
"(47, 122)",1,1,0,0
"(48, 122)",1,1,0,0
"(49, 122)",1,1,0,0
"(50, 122)",1,0,0,1
"(51, 122)",1,0,1,0
"(52, 122)",0,1,0,1
"(53, 122)",1,0,1,0
"(54, 122)",0,1,0,1
"(55, 122)",0,1,1,0
"(56, 122)",0,1,0,0
"(57, 122)",1,1,0,0
"(58, 122)",1,0,0,1
"(59, 122)",1,0,1,0
"(60, 122)",0,0,0,1
"(61, 122)",1,1,1,0
"(62, 122)",0,1,0,1
"(63, 122)",0,1,1,1
"(64, 122)",0,0,1,0
"(65, 122)",1,1,0,0
"(66, 122)",1,1,0,0
"(67, 122)",0,1,0,0
"(68, 122)",1,0,0,1
"(69, 122)",0,1,1,0
"(70, 122)",0,0,0,1
"(71, 122)",1,0,1,1
"(72, 122)",1,0,1,0
"(73, 122)",1,1,0,0
"(74, 122)",1,1,0,1
"(75, 122)",0,1,1,0
"(76, 122)",1,1,0,0
"(77, 122)",1,1,0,0
"(78, 122)",1,0,0,0
"(79, 122)",0,1,0,1
"(80, 122)",1,0,1,0
"(81, 122)",1,0,0,1
"(82, 122)",0,0,1,1
"(83, 122)",0,0,1,1
"(84, 122)",0,1,1,1
"(85, 122)",0,0,1,0
"(86, 122)",0,1,0,1
"(87, 122)",1,0,1,0
"(88, 122)",0,0,0,1
"(89, 122)",0,1,1,1
"(90, 122)",0,0,1,0
"(91, 122)",1,0,0,1
"(92, 122)",0,1,1,0
"(93, 122)",1,1,0,0
"(94, 122)",0,1,0,1
"(95, 122)",0,1,1,0
"(96, 122)",0,1,0,0
"(97, 122)",1,1,0,0
"(98, 122)",1,0,0,1
"(99, 122)",0,0,1,1
"(100, 122)",1,1,1,0
"(101, 122)",1,1,0,0
"(102, 122)",0,0,0,1
"(103, 122)",0,0,1,1
"(104, 122)",0,1,1,1
"(105, 122)",0,0,1,1
"(106, 122)",1,0,1,0
"(107, 122)",1,0,0,1
"(108, 122)",0,0,1,1
"(109, 122)",0,0,1,1
"(110, 122)",0,1,1,0
"(111, 122)",1,1,0,0
"(112, 122)",0,1,0,0
"(113, 122)",0,1,0,1
"(114, 122)",1,0,1,0
"(115, 122)",0,1,0,1
"(116, 122)",0,0,1,1
"(117, 122)",0,0,1,1
"(118, 122)",1,0,1,1
"(119, 122)",0,0,1,0
"(120, 122)",1,0,0,1
"(121, 122)",0,1,1,1
"(122, 122)",0,0,1,0
"(123, 122)",1,0,0,1
"(124, 122)",0,1,1,0
"(125, 122)",1,1,0,0
"(126, 122)",1,0,0,1
"(127, 122)",0,1,1,0
"(128, 122)",1,1,0,0
"(129, 122)",0,1,0,1
"(130, 122)",1,0,1,0
"(131, 122)",1,0,0,1
"(132, 122)",1,1,1,0
"(133, 122)",1,1,0,0
"(134, 122)",1,0,0,0
"(135, 122)",1,1,0,0
"(136, 122)",0,1,0,1
"(137, 122)",0,1,1,1
"(138, 122)",0,0,1,1
"(139, 122)",0,0,1,1
"(140, 122)",1,1,1,0
"(141, 122)",1,1,0,0
"(142, 122)",1,0,0,1
"(143, 122)",0,1,1,0
"(144, 122)",0,1,0,0
"(145, 122)",1,0,0,1
"(146, 122)",0,0,1,1
"(147, 122)",1,0,1,0
"(148, 122)",1,0,0,1
"(149, 122)",0,0,1,1
"(150, 122)",0,0,1,1
"(151, 122)",1,0,1,0
"(152, 122)",0,1,0,0
"(153, 122)",1,0,0,1
"(154, 122)",0,0,1,1
"(155, 122)",1,0,1,0
"(156, 122)",1,1,0,0
"(157, 122)",1,0,0,1
"(158, 122)",0,0,1,1
"(159, 122)",0,0,1,1
"(160, 122)",0,0,1,1
"(161, 122)",0,1,1,0
"(162, 122)",1,0,0,0
"(163, 122)",1,0,0,1
"(164, 122)",0,1,1,1
"(165, 122)",0,0,1,0
"(166, 122)",1,1,0,0
"(167, 122)",1,0,0,1
"(168, 122)",1,0,1,0
"(169, 122)",0,1,0,1
"(170, 122)",1,1,1,0
"(171, 122)",1,1,0,0
"(172, 122)",1,0,0,0
"(173, 122)",0,1,0,1
"(174, 122)",1,0,1,0
"(175, 122)",1,0,0,1
"(176, 122)",1,0,1,0
"(177, 122)",1,1,0,0
"(178, 122)",1,1,0,1
"(179, 122)",0,1,1,0
"(180, 122)",0,1,0,1
"(181, 122)",0,1,1,0
"(182, 122)",1,0,0,1
"(183, 122)",0,0,1,1
"(184, 122)",0,0,1,1
"(185, 122)",1,0,1,0
"(186, 122)",1,1,0,0
"(187, 122)",0,1,0,1
"(188, 122)",0,0,1,1
"(189, 122)",1,0,1,0
"(190, 122)",1,0,0,0
"(191, 122)",0,1,0,1
"(192, 122)",0,0,1,1
"(193, 122)",0,1,1,1
"(194, 122)",0,1,1,0
"(195, 122)",1,0,0,1
"(196, 122)",0,1,1,0
"(197, 122)",1,1,0,0
"(198, 122)",1,1,0,0
"(199, 122)",1,0,0,1
"(200, 122)",0,1,1,0
"(1, 123)",1,0,0,1
"(2, 123)",1,1,1,0
